145,ㄅㄚ,吧
525,ㄅㄚ,八
1009,ㄅㄚ,巴
1884,ㄅㄚ,叭
2442,ㄅㄚ,芭
3344,ㄅㄚ,疤
3654,ㄅㄚ,捌
4597,ㄅㄚ,笆
5978,ㄅㄚ,豝
7160,ㄅㄚ,峇
7468,ㄅㄚ,粑
8815,ㄅㄚ,蚆
9092,ㄅㄚ,鈀
11711,ㄅㄚ,朳
12332,ㄅㄚ,仈
1177,ㄅㄚˋ,罷
1439,ㄅㄚˋ,爸
1511,ㄅㄚˋ,霸
3924,ㄅㄚˋ,壩
4152,ㄅㄚˋ,耙
6084,ㄅㄚˋ,杷
9626,ㄅㄚˋ,矲
10571,ㄅㄚˋ,灞
11597,ㄅㄚˋ,跁
13189,ㄅㄚˋ,猈
13435,ㄅㄚˋ,弝
1925,ㄅㄚˊ,拔
4471,ㄅㄚˊ,跋
6360,ㄅㄚˊ,鈸
7148,ㄅㄚˊ,犮
7611,ㄅㄚˊ,魃
11468,ㄅㄚˊ,柭
12090,ㄅㄚˊ,胈
12125,ㄅㄚˊ,軷
12304,ㄅㄚˊ,菝
13003,ㄅㄚˊ,詙
14062,ㄅㄚˊ,鼥
15102,ㄅㄚˊ,茇
245,ㄅㄚˇ,把
3389,ㄅㄚˇ,靶
9093,ㄅㄚˇ,鈀
146,ㄅㄚ˙,吧
1178,ㄅㄚ˙,罷
6085,ㄅㄚ˙,杷
507,ㄅㄛ,般
1077,ㄅㄛ,波
1566,ㄅㄛ,撥
2388,ㄅㄛ,玻
2852,ㄅㄛ,剝
4863,ㄅㄛ,菠
4926,ㄅㄛ,缽
5305,ㄅㄛ,啵
6740,ㄅㄛ,砵
8900,ㄅㄛ,蹳
9648,ㄅㄛ,岥
9725,ㄅㄛ,餑
10514,ㄅㄛ,嶓
11469,ㄅㄛ,柭
11746,ㄅㄛ,嚗
13398,ㄅㄛ,趵
13786,ㄅㄛ,袚
14186,ㄅㄛ,碆
14206,ㄅㄛ,鱍
1126,ㄅㄛˋ,播
5068,ㄅㄛˋ,擘
5711,ㄅㄛˋ,亳
6031,ㄅㄛˋ,簸
6472,ㄅㄛˋ,薜
6919,ㄅㄛˋ,挀
7164,ㄅㄛˋ,檗
